ORDEM;PLACA;RENAVAM;CHASSI;CARROCERIA;MOTOR;MARCA/MODELO;ANO DE FABRICAÇÃO;ANO DO MODELO;MODELO DO CHASSI;CAPACIDADE;FILTRO
1127;RIS6H77;01292168673;9BM384067PB258317;BUSUCFBSNPB106568CAIO;924997U1375379;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1128;RKS6B07;01292169378;9BM384067PB258328;BUSUCFBSNPB106569CAIO;924997U1375405;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1129;RJR6C34;01292173251;9BM384067PB259513;BUSUCFBSNPB106570CAIO;924997U1376794;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1130;RJD5G77;01292171542;9BM384067PB259546;BUSUCFBSNPB106571CAIO;924997U1376883;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1131;RKA6D78;01292172662;9BM384067PB260405;BUSUCFBSNPB106572CAIO;924997U1378466;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1132;RIZ5F72;01292170791;9BM384067PB259482;BUSUCFBSNPB106573CAIO;924997U1376573;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1133;RIY7A59;01292171950;9BM384067PB259535;BUSUCFBSNPB106574CAIO;924997U1376872;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1134;RJF6C56;01292168282;9BM384067PB259557;BUSUCFBSNPB106575CAIO;924997U1376968;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1135;RKP6B26;01292168258;9BM384067PB260428;BUSUCFBSNPB106698CAIO;924997U1378509;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1136;RJH6E37;01292164961;9BM384067PB261262;BUSUCFBSNPB106699CAIO;924997U1378633;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
