ORDEM;PLACA;RENAVAM;CHASSI;CARROCERIA;MOTOR;MARCA/MODELO;ANO DE FABRICAÇÃO;ANO DO MODELO;MODELO DO CHASSI;CAPACIDADE;FILTRO
1079;RKQ7B69;01300565281;9BM384067PB265995;BUSUCFBSNPB107118CAIO;924997U1381844;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1080;LVE8D79;01338248682;9BM384055RB315890;BUSUCFBNSPB112827CAIO;924971U1429565;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1081;RKA6J91;01300602845;9BM384067PB266088;BUSUCFBSNPB107120CAIO;924997U1382116;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1082;LUM6H30;01338246248;9BM384055RB315891;BUSUCFBSNPB112828CAIO;924971U1429566;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1083;RJW6B62;01300595890;9BM384067PB266098;BUSUCFBSNPB107119CAIO;924997U1382224;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1084;LTW4E84;01338246698;9BM384055RB316737;BUSUCFBSNPB112829CAIO;924971U1429933;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1085;RKV7B68;01301324067;9BM384067PB267471;BUSUCFBSNPB107121CAIO;924997U1383537;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1086;LUC4I08;01338731863;9BM384055RB316729;BUSUCFBSNRB112830CAIO;924971U1429676;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1087;RIR9H44;01340234863;9BM384067PB295379;BUSUCFBSNPB110093CAIO;924997U1409601;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1088;LUG7A15;01345800824;9BM384055RB316744;BUSUCFBSNRB112831CAIO;924971U1429588;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1089;LTY9C77;01338730581;9BM384055RB316537;BUSUCFBSNRB112832CAIO;924971U1426228;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1090;LTW4H14;01345268677;9BM384055RB316531;BUSUCFBSNRB112833CAIO;924971U1428257;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1091;LUG6D26;01338551385;9BM384055RB316761;BUSUCFBSNRB112834CAIO;924971U1429549;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1092;LUS5G09;01338739236;9BM384055RB317558;BUSUCFBSNRB112887CAIO;924971U1426222;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1093;LUK8B32;01345269649;9BM384055RB317509;BUSUCFBSNRB112888CAIO;924971U1431112;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1094;LUE7J19;01347602841;9BM384055RB317511;BUSUCFBSNRB112889CAIO;924971U1431119;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1095;LVE9F65;01345805320;9BM384055RB317489;BUSUCFBSNRB112912CAIO;924971U1431016;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
